uuid,name,description,class,datatype,shortname,template,synonym.1,synonym.2,reference-term-source,reference-term-code,reference-term-relationship,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6
,Radiation Therapy,,Misc,N/A,Radiation Therapy,Breast Cancer,,,,,,,,,,,
,Tamoxifen,,Misc,N/A,Tamoxifen,Breast Cancer,,,,,,,,,,,
,Doxorubicin + Cyclophosphamide,,Misc,N/A,AC,Breast Cancer,,,,,,,,,,,
,Paclitaxel,,Misc,N/A,Paclitaxel,Breast Cancer,,,,,,,,,,,
,Fluorouracil,,Misc,N/A,5-FU,Breast Cancer,,,,,,,,,,,
,Doxorubicin,,Misc,N/A,Doxorubicin,Breast Cancer,,,,,,,,,,,
,Cyclophosphamide,,Misc,N/A,Cyclophosphamide,Breast Cancer,,,,,,,,,,,
,Other,,Misc,N/A,Other,Breast Cancer,,,,,,,,,,,
,Neoadjuvant,,Misc,N/A,Neoadjuvant,Breast Cancer,,,,,,,,,,,
,Adjuvant,,Misc,N/A,Adjuvant,Breast Cancer,,,,,,,,,,,
,Palliative,,Misc,N/A,Palliative,Breast Cancer,,,,,,,,,,,
,pN0,,Misc,N/A,pN0,Breast Cancer,,,,,,,,,,,
,pN1,,Misc,N/A,pN1,Breast Cancer,,,,,,,,,,,
,pN2,,Misc,N/A,pN2,Breast Cancer,,,,,,,,,,,
,pN3,,Misc,N/A,pN3,Breast Cancer,,,,,,,,,,,
,Squamous Cell Carcinoma,,Misc,N/A,Squamous Cell Carcinoma,Cervical Cancer,,,,,,,,,,,
,Adenocarcinoma,,Misc,N/A,Adenocarcinoma,Cervical Cancer,,,,,,,,,,,
,Stage IA,,Misc,N/A,IA,Cervical Cancer,,,,,,,,,,,
,Stage IB,,Misc,N/A,IB,Cervical Cancer,,,,,,,,,,,
,Stage IIA,,Misc,N/A,IIA,Cervical Cancer,,,,,,,,,,,
,Stage IIB,,Misc,N/A,IIB,Cervical Cancer,,,,,,,,,,,
,Stage IIIA,,Misc,N/A,IIIA,Cervical Cancer,,,,,,,,,,,
,Stage IIIB,,Misc,N/A,IIIB,Cervical Cancer,,,,,,,,,,,
,Stage IVA,,Misc,N/A,IVA,Cervical Cancer,,,,,,,,,,,
,Stage IVB,,Misc,N/A,IVB,Cervical Cancer,,,,,,,,,,,
,S/P Chemotherapy,,Misc,N/A,S/P Chemotherapy,Cervical Cancer,,,,,,,,,,,
,S/P Radiotherapy,,Misc,N/A,S/P Radiotherapy,Cervical Cancer,,,,,,,,,,,
,S/P Surgery,,Misc,N/A,S/P Surgery,Cervical Cancer,,,,,,,,,,,
,Other,,Misc,N/A,Other,Cervical Cancer,,,,,,,,,,,
,Curative,,Misc,N/A,Curative,Cervical Cancer,,,,,,,,,,,
,Palliative Systemic,,Misc,N/A,Palliative Systemic,Cervical Cancer,,,,,,,,,,,
,Palliation Only,,Misc,N/A,Palliation Only,Cervical Cancer,,,,,,,,,,,
,Chemotherapy,,Misc,N/A,Chemotherapy,Cervical Cancer,,,,,,,,,,,
,Surgery,,Misc,N/A,Surgery,Cervical Cancer,,,,,,,,,,,
,Radiation Therapy,,Misc,N/A,Radiation Therapy,Cervical Cancer,,,,,,,,,,,
,Carboplatin/Paclitaxel,,Misc,N/A,Carboplatin/Paclitaxel,Cervical Cancer,,,,,,,,,,,
,Cisplatin,,Misc,N/A,Cisplatin,Cervical Cancer,,,,,,,,,,,
,Other,,Misc,N/A,Other,Cervical Cancer,,,,,,,,,,,
,Neoadjuvant,,Misc,N/A,Neoadjuvant,Cervical Cancer,,,,,,,,,,,
,Adjuvant,,Misc,N/A,Adjuvant,Cervical Cancer,,,,,,,,,,,
,Concurrent,,Misc,N/A,Concurrent,Cervical Cancer,,,,,,,,,,,
,Right Side,,Misc,N/A,Right Side,Colon Cancer,,,,,,,,,,,
,Left Side,,Misc,N/A,Left Side,Colon Cancer,,,,,,,,,,,
,Sigmoid,,Misc,N/A,Sigmoid,Colon Cancer,,,,,,,,,,,
,Other,,Misc,N/A,Other,Colon Cancer,,,,,,,,,,,
,Resectable Disease (Stage I-III),,Misc,N/A,Resectable Disease (Stage I-III),Colon Cancer,,,,,,,,,,,
,Metastatic Disease (Stage IV),,Misc,N/A,Metastatic Disease (Stage IV),Colon Cancer,,,,,,,,,,,
,Patient S/P Surgical Resection,,Misc,N/A,Patient S/P Surgical Resection,Colon Cancer,,,,,,,,,,,
,Curative,,Misc,N/A,Curative,Colon Cancer,,,,,,,,,,,
,Palliative Systemic,,Misc,N/A,Palliative Systemic,Colon Cancer,,,,,,,,,,,
,Palliation Only,,Misc,N/A,Palliation Only,Colon Cancer,,,,,,,,,,,
,Post-Operative / Palliative Chemotherapy,,Misc,N/A,Post-Operative / Palliative Chemotherapy,Colon Cancer,,,,,,,,,,,
,Surgery,,Misc,N/A,Surgery,Colon Cancer,,,,,,,,,,,
,Radiation Therapy,,Misc,N/A,Radiation Therapy,Colon Cancer,,,,,,,,,,,
,T0,,Misc,N/A,T0,Colon Cancer,,,,,,,,,,,
,T1,,Misc,N/A,T1,Colon Cancer,,,,,,,,,,,
,T2,,Misc,N/A,T2,Colon Cancer,,,,,,,,,,,
,T3,,Misc,N/A,T3,Colon Cancer,,,,,,,,,,,
,T4,,Misc,N/A,T4,Colon Cancer,,,,,,,,,,,
,TX,,Misc,N/A,TX,Colon Cancer,,,,,,,,,,,
,Tis,,Misc,N/A,Tis,Colon Cancer,,,,,,,,,,,
,Td4,,Misc,N/A,Td4,Colon Cancer,,,,,,,,,,,
,N0,,Misc,N/A,N0,Colon Cancer,,,,,,,,,,,
,N1,,Misc,N/A,N1,Colon Cancer,,,,,,,,,,,
,N2,,Misc,N/A,N2,Colon Cancer,,,,,,,,,,,
,N3,,Misc,N/A,N3,Colon Cancer,,,,,,,,,,,
,NX,,Misc,N/A,NX,Colon Cancer,,,,,,,,,,,
,M0,,Misc,N/A,M0,Colon Cancer,,,,,,,,,,,
,M1,,Misc,N/A,M1,Colon Cancer,,,,,,,,,,,
,MX,,Misc,N/A,MX,Colon Cancer,,,,,,,,,,,
,Stage 0,,Misc,N/A,0,Colon Cancer,,,,,,,,,,,
,Stage I,,Misc,N/A,I,Colon Cancer,,,,,,,,,,,
,Stage IIA,,Misc,N/A,IIA,Colon Cancer,,,,,,,,,,,
,Stage IIB,,Misc,N/A,IIB,Colon Cancer,,,,,,,,,,,
,Stage IIIA,,Misc,N/A,IIIA,Colon Cancer,,,,,,,,,,,
,Stage IIIB,,Misc,N/A,IIIB,Colon Cancer,,,,,,,,,,,
,Stage IIIC,,Misc,N/A,IIIC,Colon Cancer,,,,,,,,,,,
,Stage IV,,Misc,N/A,IV,Colon Cancer,,,,,,,,,,,
,Distal Esophagus,,Misc,N/A,Distal Esophagus,Gastric Cancer,,,,,,,,,,,
,Gastro-esophageal Junction,,Misc,N/A,Gastro-esophageal Junction,Gastric Cancer,,,,,,,,,,,
,Fundus of Stomach,,Misc,N/A,Fundus of Stomach,Gastric Cancer,,,,,,,,,,,
,Body of Stomach,,Misc,N/A,Body of Stomach,Gastric Cancer,,,,,,,,,,,
,Pylorus,,Misc,N/A,Pylorus,Gastric Cancer,,,,,,,,,,,
,Other,,Misc,N/A,Other,Gastric Cancer,,,,,,,,,,,
,Superclavicular,,Misc,N/A,Superclavicular,Gastric Cancer,,,,,,,,,,,
,Periumbilical,,Misc,N/A,Periumbilical,Gastric Cancer,,,,,,,,,,,
,Left Axillary,,Misc,N/A,Left Axillary,Gastric Cancer,,,,,,,,,,,
,Other,,Misc,N/A,Other,Gastric Cancer,,,,,,,,,,,
,Resectable/Curable Disease,,Misc,N/A,Resectable/Curable Disease,Gastric Cancer,,,,,,,,,,,
,Locally Advanced Unresectable Disease,,Misc,N/A,Locally Advanced Unresectable Disease,Gastric Cancer,,,,,,,,,,,
,Metastatic Disease,,Misc,N/A,Metastatic Disease,Gastric Cancer,,,,,,,,,,,
,Patient S/P Surgical Resection,,Misc,N/A,Patient S/P Surgical Resection,Gastric Cancer,,,,,,,,,,,
,Curative,,Misc,N/A,Curative,Gastric Cancer,,,,,,,,,,,
,Palliative Systemic,,Misc,N/A,Palliative Systemic,Gastric Cancer,,,,,,,,,,,
,Palliation Only,,Misc,N/A,Palliation Only,Gastric Cancer,,,,,,,,,,,
,Pre-Operative Chemotherapy,,Misc,N/A,Pre-Operative Chemotherapy,Gastric Cancer,,,,,,,,,,,
,Surgery,,Misc,N/A,Surgery,Gastric Cancer,,,,,,,,,,,
,Post-Operative Chemotherapy,,Misc,N/A,Post-Operative Chemotherapy,Gastric Cancer,,,,,,,,,,,
,Radiation Therapy,,Misc,N/A,Radiation Therapy,Gastric Cancer,,,,,,,,,,,
,Gastrectomy,,Misc,N/A,Gastrectomy,Gastric Cancer,,,,,,,,,,,
,Esophagectomy,,Misc,N/A,Esophagectomy,Gastric Cancer,,,,,,,,,,,
,Other,,Misc,N/A,Other,Gastric Cancer,,,,,,,,,,,
,T0,,Misc,N/A,T0,Gastric Cancer,,,,,,,,,,,
,T1,,Misc,N/A,T1,Gastric Cancer,,,,,,,,,,,
,T2,,Misc,N/A,T2,Gastric Cancer,,,,,,,,,,,
,T3,,Misc,N/A,T3,Gastric Cancer,,,,,,,,,,,
,T4,,Misc,N/A,T4,Gastric Cancer,,,,,,,,,,,
,TX,,Misc,N/A,TX,Gastric Cancer,,,,,,,,,,,
,Tis,,Misc,N/A,Tis,Gastric Cancer,,,,,,,,,,,
,Td4,,Misc,N/A,Td4,Gastric Cancer,,,,,,,,,,,
,N0,,Misc,N/A,N0,Gastric Cancer,,,,,,,,,,,
,N1,,Misc,N/A,N1,Gastric Cancer,,,,,,,,,,,
,N2,,Misc,N/A,N2,Gastric Cancer,,,,,,,,,,,
,N3,,Misc,N/A,N3,Gastric Cancer,,,,,,,,,,,
,NX,,Misc,N/A,NX,Gastric Cancer,,,,,,,,,,,
,M0,,Misc,N/A,M0,Gastric Cancer,,,,,,,,,,,
,M1,,Misc,N/A,M1,Gastric Cancer,,,,,,,,,,,
,MX,,Misc,N/A,MX,Gastric Cancer,,,,,,,,,,,
,Stage 0,,Misc,N/A,0,Gastric Cancer,,,,,,,,,,,
,Stage I,,Misc,N/A,I,Gastric Cancer,,,,,,,,,,,
,Stage IIA,,Misc,N/A,IIA,Gastric Cancer,,,,,,,,,,,
,Stage IIB,,Misc,N/A,IIB,Gastric Cancer,,,,,,,,,,,
,Stage IIIA,,Misc,N/A,IIIA,Gastric Cancer,,,,,,,,,,,
,Stage IIIB,,Misc,N/A,IIIB,Gastric Cancer,,,,,,,,,,,
,Stage IIIC,,Misc,N/A,IIIC,Gastric Cancer,,,,,,,,,,,
,Stage IV,,Misc,N/A,IV,Gastric Cancer,,,,,,,,,,,
,Positive,,Misc,N/A,Positive,Gastric Cancer,,,,,,,,,,,
,Negative,,Misc,N/A,Negative,Gastric Cancer,,,,,,,,,,,
,Not determined,,Misc,N/A,Not determined,Gastric Cancer,,,,,,,,,,,
,Self Reported,,Misc,N/A,Self Reported,Leprosy,,,,,,,,,,,
,Active Surveillance,,Misc,N/A,Active Surveillance,Leprosy,,,,,,,,,,,
,Slit Skin Positive,,Misc,N/A,Slit Skin Positive,Leprosy,,,,,,,,,,,
,Nodular,,Misc,N/A,Nodular,Leprosy,,,,,,,,,,,
,Histoid,,Misc,N/A,Histoid,Leprosy,,,,,,,,,,,
,Tuberculoid,,Misc,N/A,TT,Leprosy,,,,,,,,,,,
,Borderline Tuberculoid,,Misc,N/A,BT,Leprosy,,,,,,,,,,,
,Midspectrum Borderline,,Misc,N/A,BB,Leprosy,,,,,,,,,,,
,Borderline Lepromatous,,Misc,N/A,BL,Leprosy,,,,,,,,,,,
,Lepromatous,,Misc,N/A,LL,Leprosy,,,,,,,,,,,
,Pure Neurotic,,Misc,N/A,PAN,Leprosy,,,,,,,,,,,
,Multibacillary Leprosy,,Misc,N/A,MB,Leprosy,,,,,,,,,,,
,Paucibacillary Leprosy,,Misc,N/A,PB,Leprosy,,,,,,,,,,,
,Yes,,Misc,N/A,Yes,Leprosy,,,,,,,,,,,
,Nil,,Misc,N/A,Nil,Leprosy,,,,,,,,,,,
,Improved,,Misc,N/A,I,Leprosy,,,,,,,,,,,
,Deteriorated,,Misc,N/A,D,Leprosy,,,,,,,,,,,
,Status Quo,,Misc,N/A,S,Leprosy,,,,,,,,,,,
,Never Had Problems,,Misc,N/A,N,Leprosy,,,,,,,,,,,
,Lost of Follow Up,,Misc,N/A,L,Leprosy,,,,,,,,,,,
,Results Pending,,Misc,N/A,P,Leprosy,,,,,,,,,,,
,Death,,Misc,N/A,Death,Sickle Cell,,,,,,,,,,,
,Good Condition,,Misc,N/A,Good Condition,Sickle Cell,,,,,,,,,,,
,Not in Good Condition,,Misc,N/A,Not in Good Condition,Sickle Cell,,,,,,,,,,,
,Numbness of Fingers,,Misc,N/A,Numbness of Fingers,Sickle Cell,,,,,,,,,,,
,Other,,Misc,N/A,Other,Sickle Cell,,,,,,,,,,,
,Treatment Not Continued,,Misc,N/A,Treatment Not Continued,Sickle Cell,,,,,,,,,,,
,New Diagnosis,,Misc,N/A,New,Tuberculosis,,,,,,,,,,,
,Treatment after default,,Misc,N/A,Treatment after default,Tuberculosis,,,,,,,,,,,
,Treatment after relapse,,Misc,N/A,Treatment after relapse,Tuberculosis,,,,,,,,,,,
,Treatment after failure,,Misc,N/A,Treatment after failure,Tuberculosis,,,,,,,,,,,
,Pulmonary,,Misc,N/A,Pulmonary,Tuberculosis,,,,,,,,,,,
,Extrapulmonary,,Misc,N/A,Extrapulmonary,Tuberculosis,,,,,,,,,,,
,Not Applicable,,Misc,N/A,Not Applicable,Tuberculosis,,,,,,,,,,,
,Positive,,Misc,N/A,Positive,Tuberculosis,,,,,,,,,,,
,Negative,,Misc,N/A,Negative,Tuberculosis,,,,,,,,,,,
,Pleural,,Misc,N/A,Pleural,Tuberculosis,,,,,,,,,,,
,Lymph Node,,Misc,N/A,Lymph Node,Tuberculosis,,,,,,,,,,,
,Intestinal,,Misc,N/A,Intestinal,Tuberculosis,,,,,,,,,,,
,Peritoneal,,Misc,N/A,Peritoneal,Tuberculosis,,,,,,,,,,,
,Skeletal,,Misc,N/A,Skeletal,Tuberculosis,,,,,,,,,,,
,Articular,,Misc,N/A,Articular,Tuberculosis,,,,,,,,,,,
,Meningeal,,Misc,N/A,Meningeal,Tuberculosis,,,,,,,,,,,
,Renal,,Misc,N/A,Renal,Tuberculosis,,,,,,,,,,,
,Genital,,Misc,N/A,Genital,Tuberculosis,,,,,,,,,,,
,Cutaneous,,Misc,N/A,Cutaneous,Tuberculosis,,,,,,,,,,,
,Combination of all,,Misc,N/A,Combination of all,Tuberculosis,,,,,,,,,,,
,Pericardial,,Misc,N/A,Pericardial,Tuberculosis,,,,,,,,,,,
,Other,,Misc,N/A,Other,Tuberculosis,,,,,,,,,,,
,Treatment Complete,,Misc,N/A,Complete,Tuberculosis,,,,,,,,,,,
,Treatment Cured,,Misc,N/A,Cured,Tuberculosis,,,,,,,,,,,
,Treatment Default,,Misc,N/A,Default,Tuberculosis,,,,,,,,,,,
,Death During Treatment,,Misc,N/A,Death During Treatment,Tuberculosis,,,,,,,,,,,
,Treatment Failure,,Misc,N/A,Treatment Failure,Tuberculosis,,,,,,,,,,,
,On Treatment,,Misc,N/A,On Treatment,Tuberculosis,,,,,,,,,,,
,Normal,,Misc,N/A,Normal,Tuberculosis,,,,,,,,,,,
,Healthy,,Misc,N/A,Healthy,Tuberculosis,,,,,,,,,,,
,Relapse,,Misc,N/A,Relapse,Tuberculosis,,,,,,,,,,,
,Death,,Misc,N/A,Death,Tuberculosis,,,,,,,,,,,
,Do Not Know,,Misc,N/A,Do Not Know,Tuberculosis,,,,,,,,,,,
,Flat,,Misc,N/A,Flat,Kaposis Sarcoma,,,,,,,,,,,
,Raised,,Misc,N/A,Raised,Kaposis Sarcoma,,,,,,,,,,,
,Inguinal,,Misc,N/A,Inguinal,Kaposis Sarcoma,,,,,,,,,,,
,Other,,Misc,N/A,Other,Kaposis Sarcoma,,,,,,,,,,,
,Indurated/Hard,,Misc,N/A,Indurated/Hard,Kaposis Sarcoma,,,,,,,,,,,
,Lung,,Misc,N/A,Lung,Kaposis Sarcoma,,,,,,,,,,,
,Liver,,Misc,N/A,Liver,Kaposis Sarcoma,,,,,,,,,,,
,GI,,Misc,N/A,GI,Kaposis Sarcoma,,,,,,,,,,,
,Night Sweats,,Misc,N/A,Night Sweats,Kaposis Sarcoma,,,,,,,,,,,
,Unexplained Fever,,Misc,N/A,Unexplained Fever,Kaposis Sarcoma,,,,,,,,,,,
,Diarrhea for 2 weeks ,,Misc,N/A,Diarrhea for 2 weeks ,Kaposis Sarcoma,,,,,,,,,,,
,Reported Weight Loss greater than 10 percent,,Misc,N/A,Reported weight loss > 10%,Kaposis Sarcoma,,,,,,,,,,,
,Thrust/Yeast,,Misc,N/A,Thrust/Yeast,Kaposis Sarcoma,,,,,,,,,,,
,Related Neuropathy,,Misc,N/A,Related Neuropathy,Kaposis Sarcoma,,,,,,,,,,,
,Related Lymphoma,,Misc,N/A,Related Lymphoma,Kaposis Sarcoma,,,,,,,,,,,
,Stage T0,,Misc,N/A,0,Kaposis Sarcoma,,,,,,,,,,,
,Stage T1,,Misc,N/A,1,Kaposis Sarcoma,,,,,,,,,,,
,Stage I0,,Misc,N/A,0,Kaposis Sarcoma,,,,,,,,,,,
,Stage I1,,Misc,N/A,1,Kaposis Sarcoma,,,,,,,,,,,
,Stage S0,,Misc,N/A,0,Kaposis Sarcoma,,,,,,,,,,,
,Stage S1,,Misc,N/A,1,Kaposis Sarcoma,,,,,,,,,,,
,Stage I,,Misc,N/A,I,Kaposis Sarcoma,,,,,,,,,,,
,Stage II,,Misc,N/A,II,Kaposis Sarcoma,,,,,,,,,,,
,Stage III,,Misc,N/A,III,Kaposis Sarcoma,,,,,,,,,,,
,Palliative Systemic,,Misc,N/A,Palliative Systemic,Kaposis Sarcoma,,,,,,,,,,,
,Palliation Only,,Misc,N/A,Palliation Only,Kaposis Sarcoma,,,,,,,,,,,
,Chemotherapy,,Misc,N/A,Chemotherapy,Kaposis Sarcoma,,,,,,,,,,,
,Radiation Therapy,,Misc,N/A,Radiation Therapy,Kaposis Sarcoma,,,,,,,,,,,
,Paclitaxel,,Misc,N/A,Paclitaxel,Kaposis Sarcoma,,,,,,,,,,,
,Non-Metastatic,,Misc,N/A,Non-Metastatic,Nephroblastoma,,,,,,,,,,,
,Metastatic,,Misc,N/A,Metastatic,Nephroblastoma,,,,,,,,,,,
,Bilateral,,Misc,N/A,Bilateral,Nephroblastoma,,,,,,,,,,,
,Unknown,,Misc,N/A,Unknown,Nephroblastoma,,,,,,,,,,,
,FNA,,Misc,N/A,FNA,Nephroblastoma,,,,,,,,,,,
,Open Biopsy,,Misc,N/A,Open Biopsy,Nephroblastoma,,,,,,,,,,,
,Curative,,Misc,N/A,Curative,Nephroblastoma,,,,,,,,,,,
,Palliative Systemic,,Misc,N/A,Palliative Systemic,Nephroblastoma,,,,,,,,,,,
,Palliation only,,Misc,N/A,Palliation only,Nephroblastoma,,,,,,,,,,,
,Pre-Operative Chemotherapy,,Misc,N/A,Pre-Operative Chemotherapy,Nephroblastoma,,,,,,,,,,,
,Surgery,,Misc,N/A,Surgery,Nephroblastoma,,,,,,,,,,,
,Vincristine/Actinomycin D,,Misc,N/A,Vincristine/Actinomycin D,Nephroblastoma,,,,,,,,,,,
,Vincristine/Actinomycin D/Doxorubicin,,Misc,N/A,Vincristine/Actinomycin D/Doxorubicin,Nephroblastoma,,,,,,,,,,,
,Partial Nephrectomy,,Misc,N/A,Partial Nephrectomy,Nephroblastoma,,,,,,,,,,,
,Total Nephrectomy,,Misc,N/A,Total Nephrectomy,Nephroblastoma,,,,,,,,,,,
,Other,,Misc,N/A,Other,Nephroblastoma,,,,,,,,,,,
,Stage 0,,Misc,N/A,0,Nephroblastoma,,,,,,,,,,,
,Stage I,,Misc,N/A,I,Nephroblastoma,,,,,,,,,,,
,Stage II,,Misc,N/A,II,Nephroblastoma,,,,,,,,,,,
,Stage III,,Misc,N/A,III,Nephroblastoma,,,,,,,,,,,
,Stage IV,,Misc,N/A,IV,Nephroblastoma,,,,,,,,,,,
,Stage V,,Misc,N/A,V,Nephroblastoma,,,,,,,,,,,
,Post-Operative Chemotherapy,,Misc,N/A,Post-Operative Chemotherapy,Nephroblastoma,,,,,,,,,,,
,Radiation Therapy,,Misc,N/A,Radiation Therapy,Nephroblastoma,,,,,,,,,,,
,Alcohol Abuse,,Misc,N/A,,Neurological Disorder,,,,,,,,,,,
,Gudakhu,,Misc,N/A,,Neurological Disorder,,,,,,,,,,,
,Skilled Birth Attendant,,Misc,N/A,SBA,Delivery,,,,,,,,,,,
,Non SBA Health worker,,Misc,N/A,Non SBA,Delivery,,,,,,,,,,,
,Spontaneous Vaginal Delivery,,Misc,N/A,Spontaneous Vaginal Delivery,Delivery,,,,,,,,,,,
,Forceps or Vaccum Extractor Delivery,,Misc,N/A,Forceps or Vaccum Extractor Delivery,Delivery,,,,,,,,,,,
,Caesarean Section,,Misc,N/A,Caesarean Section,Delivery,,,,,,,,,,,
,Single live birth,,Misc,N/A,Single live birth,Delivery,,,,,,,,,,,
,Single stillbirth,,Misc,N/A,Single stillbirth,Delivery,,,,,,,,,,,
,Twins both liveborn,,Misc,N/A,Twins both liveborn,Delivery,,,,,,,,,,,
,Twins one liveborn and one stillborn,,Misc,N/A,Twins one liveborn and one stillborn,Delivery,,,,,,,,,,,
,Twins both stillborn,,Misc,N/A,Twins both stillborn,Delivery,,,,,,,,,,,
,Other multiple births all liveborn,,Misc,N/A,Other multiple births all liveborn,Delivery,,,,,,,,,,,
,Other multiple births some liveborn,,Misc,N/A,Other multiple births some liveborn,Delivery,,,,,,,,,,,
,Other multiple births all stillborn,,Misc,N/A,Other multiple births all stillborn,Delivery,,,,,,,,,,,
,Cephalic Presentation,,Misc,N/A,Cephalic,Delivery,,,,,,,,,,,
,Shoulder Presentation,,Misc,N/A,Shoulder,Delivery,,,,,,,,,,,
,Breech Presentation,,Misc,N/A,Breech,Delivery,,,,,,,,,,,
,Maternal effort,,Misc,N/A,Maternal effort,Delivery,,,,,,,,,,,
,Fundal pressure,,Misc,N/A,Fundal pressure,Delivery,,,,,,,,,,,
,Manual removal,,Misc,N/A,Manual removal,Delivery,,,,,,,,,,,
,Controlled Cord Traction,,Misc,N/A,Controlled Cord Traction,Delivery,,,,,,,,,,,
,Complete,,Misc,N/A,Complete,Delivery,,,,,,,,,,,
,Incomplete,,Misc,N/A,Incomplete,Delivery,,,,,,,,,,,
,Doubtful,,Misc,N/A,Doubtful,Delivery,,,,,,,,,,,
,Complete,,Misc,N/A,Complete,Delivery,,,,,,,,,,,
,Ragged,,Misc,N/A,Ragged,Delivery,,,,,,,,,,,
,Retained,,Misc,N/A,Retained,Delivery,,,,,,,,,,,
,Intact,,Misc,N/A,Intact,Delivery,,,,,,,,,,,
,Episiotomy on mother,,Misc,N/A,Episiotomy on mother,Delivery,,,,,,,,,,,
,"First Degree Perineal Laceration, with Delivery",,Misc,N/A,First Degree Laceration,Delivery,,,,,,,,,,,
,"Second Degree Perineal Laceration, with Delivery",,Misc,N/A,Second Degree Laceration,Delivery,,,,,,,,,,,
,"Third Degree Perineal Laceration, with Delivery",,Misc,N/A,Third Degree Laceration,Delivery,,,,,,,,,,,
,Male,,Misc,N/A,Male,Delivery,,,,,,,,,,,
,Female,,Misc,N/A,Female,Delivery,,,,,,,,,,,
